Delta Time	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Core 4 CycleCount	Core 4 Event 0x62	Core 4 Event 0x16	Core 4 Event 0x14	Core 4 Event 0x04	Core 4 Event 0x08	Core 4 Event 0x11
0.00435	0.91125	1.15375	0.032796	0.560358	1.21375	0.041242	0.9975	0.102691	665039	1552	8753	123377	95344	153198	665766
0.20307	0.91125	1.15375	0.02733	0.614549	1.21375	0.032751	0.9975	0.100697	1149252	2752	14287	186808	144733	239524	1150656
0.203068	0.91125	1.15375	0.02733	0.614549	1.21375	0.032751	0.9975	0.100697	1468803	3472	17493	227199	173381	286727	1469529
0.203035	0.91125	1.1525	0.015487	0.563328	1.21375	0.019408	0.9975	0.0997	1781846	4280	21112	269715	204647	338981	1782570
0.203081	0.91125	1.1525	0.014576	0.546048	1.21375	0.019408	0.9975	0.098703	2012419	4852	23504	298563	225222	373234	2013110
0.203068	0.91125	1.1525	0.020042	0.542592	1.2125	0.019392	0.99875	0.097804	2680866	5588	26970	338879	254155	421780	2681557
0.203211	0.91125	1.15375	0.028241	0.577653	1.21375	0.032751	0.9975	0.096709	11151600	19106	151662	1938705	1574567	2926008	11153809
0.203271	0.91125	1.15375	0.028241	0.577653	1.21375	0.032751	0.9975	0.096709	20476416	32110	285218	3634873	2972404	5549114	20477944
0.203261	0.91125	1.15375	0.030974	0.58803	1.2125	0.044844	0.99875	0.095808	36857103	54703	533565	6760214	5577084	10517251	36858738
0.203096	0.91125	1.15375	0.030974	0.586877	1.2125	0.04848	0.99875	0.095808	46009114	67996	660926	8371901	6922809	13099566	46010495
0.203238	0.91125	1.18	0.040084	0.63838	1.2125	0.052116	0.99875	0.09481	54593611	78340	783831	9956188	8276470	15733741	54594936
0.203284	0.91125	1.18	0.040084	0.63838	1.2125	0.052116	0.99875	0.09481	63490141	88583	908595	11570359	9623553	18297961	63491412
0.203897	0.91125	1.1925	0.040995	0.659176	1.2125	0.049692	0.99875	0.09481	267235116	2214179	2248008	57096041	44362058	188020214	267239358
0.204209	0.91125	1.2	0.030063	2.4264	1.2125	0.047268	0.99875	0.093812	634772083	5835455	4224055	143476391	104277305	523952128	634774862
0.204018	0.91125	1.20875	0.016398	4.496176	1.2175	0.153342	0.99875	0.09481	1001959407	9064793	6208786	231475951	163218811	870029547	1001962004
0.204316	0.91125	1.20875	0.016398	4.496176	1.2175	0.153342	0.99875	0.09481	1369662902	12118233	8194899	320054097	221397534	1219672946	1369665170
0.20397	0.91125	1.21	0.016398	4.89687	1.2175	0.172814	0.99875	0.095808	1736932326	15159538	10154956	409196475	279109057	1573001034	1736934562
